Block state | Channel name - (Channel link) Description (or other description, comma and Channel Link)
+ | WooHoo ID								 - Copycat 5MC (channel/UCmEm-e21vzohLlZ5ha6xytw)
+ | Yode plays							 - (c/YodePlays) Roblox scam and clickbait.
+ | ZOOM GO									 - Copycat 5MC (channel/UCpDZ6GHn0iVscFje6mxU3LA)
+ | ZutiGang								 - (channel/UCNBTflmnht6ZMRNCDNilw9g) worst yt short
✔ | Afsha tuition vlogs			 - Evil indian teacher child abuse (yeeted off).
✔ | Creepo									 - (channel/UCl-riarpAj1XLXFBs4EteeQ) idk wut this i didnt check previously, might be fortnite nonsense. now he's didn't do any of that stuff anymore.
✔ | DaddyOFive							 - (channel/UC437LVcYg3tNXuTtqi51bow) Hated YouTuber for family real-life kids abuse (not banned, bad videos are still up but its couple years ago)
✔ | Golgolmois							 - faking someone death for money.
✔ | (Im)JayStation					 - (channel/UCyjn72dikcC7J3WV0_eCM1A) Clickbait 3AM Videos (not banned, bad videos are still up but its couple years ago)
// --- | --- - (---) --- // B ==================================================
PS: beware that /c/ can also be /user/ and vice-versa.
PS: Channel names that ends with * means the name is "truncated"/shortened while abot to be found using search
Status (2✗,0H,0W,143+,5✔):
✗ | not blocked (wont be added to ntpcyt because certain makes-sense reason).
H | Hold, More review required (not blocked yet).
W | Waiting...
+ | added to ntpcyt
✔ | Banned (aka. its done for and should be removed), or channel owner cleanup their channel and promise not to upload bad stuff.
